"Biodiversity","Estimate","Persistence_Counterfactual","Benefit","Persistence_WithAction","ExpBenefit","ExpPersistence_WithAction","Freq"
"Freshwater","LOWEST",39.8888888888889,18.3333333333333,58.2222222222222,13.6583333333333,53.5472222222222,9
"Freshwater","HIGHEST",77.1111111111111,15.1111111111111,92.2222222222222,11.2577777777778,88.3688888888889,9
"Freshwater","BEST GUESS",61.5555555555556,21.2222222222222,82.7777777777778,15.8105555555556,77.3661111111111,9
"Wetland","LOWEST",42.5,21.75,64.25,16.20375,58.70375,8
"Wetland","HIGHEST",79.375,14.375,93.75,10.709375,90.084375,8
"Wetland","BEST GUESS",66.25,18.75,85,13.96875,80.21875,8
"Coniferous Forest","LOWEST",57.5,15,72.5,11.175,68.675,6
"Coniferous Forest","HIGHEST",87.5,8.33333333333333,95.8333333333333,6.20833333333333,93.7083333333333,6
"Coniferous Forest","BEST GUESS",74.8333333333333,12.6666666666667,87.5,9.43666666666667,84.27,6
"Mixed Forest","LOWEST",52.5,19.1666666666667,71.6666666666667,14.2791666666667,66.7791666666667,6
"Mixed Forest","HIGHEST",85.8333333333333,10,95.8333333333333,7.45,93.2833333333333,6
"Mixed Forest","BEST GUESS",70.8333333333333,16.5,87.3333333333333,12.2925,83.1258333333333,6
