"Expert","Estimate","Value"
1,"LOWEST",75
1,"HIGHEST",85
1,"BEST GUESS",80
2,"LOWEST",85
2,"HIGHEST",50
2,"BEST GUESS",75
3,"LOWEST",25
3,"HIGHEST",85
3,"BEST GUESS",60
4,"LOWEST",50
4,"HIGHEST",85
4,"BEST GUESS",75
5,"LOWEST",15
5,"HIGHEST",100
5,"BEST GUESS",70
6,"LOWEST",50
6,"HIGHEST",100
6,"BEST GUESS",85
7,"LOWEST",60
7,"HIGHEST",100
7,"BEST GUESS",90
8,"LOWEST",50
8,"HIGHEST",85
8,"BEST GUESS",75
9,"LOWEST",25
9,"HIGHEST",60
9,"BEST GUESS",50
10,"LOWEST",65
10,"HIGHEST",100
10,"BEST GUESS",85
